numCinema,annee,nbEntrees
55,2019,49579
204,2019,178752
301,2019,421267
451,2019,356071
731,2019,145188
891,2019,56566
1393,2019,3631
1681,2019,36968
7231,2019,42191
8331,2019,512221
8353,2019,144823
8422,2019,47744
8514,2019,103248
9351,2019,56639
9600,2019,487926
9616,2019,91197
9906,2019,807114
75492,2019,5869
67333,2019,10392
12401,2019,6619
14071,2019,334960
14073,2019,113700
74553,2019,7447
48422,2019,135934
76073,2019,53620
45266,2019,43434
11101,2019,11281
77732,2019,8316
84292,2019,21190
11527,2019,14848
13405,2019,7477
27833,2019,250009
86693,2019,57693
86952,2019,11293
49632,2019,118142
73021,2019,515859
82762,2019,159636
85902,2019,54187
14102,2019,33263
86544,2019,18119
30891,2019,5830
17325,2019,420743
19325,2019,11694
57473,2019,53911
80572,2019,50804
19464,2019,7658
19491,2019,11083
19507,2019,12091
38772,2019,20454
25722,2019,15338
23102,2019,4580
84556,2019,4515
68046,2019,321585
25038,2019,358406
29144,2019,4332
25571,2019,90583
92542,2019,71785
30164,2019,9494
30184,2019,10674
57582,2019,155555
61504,2019,23163
67324,2019,53224
31544,2019,7390
57172,2019,38664
36672,2019,340664
72881,2019,332441
33801,2019,21841
58272,2019,447869
34182,2019,42030
37881,2019,2342
89152,2019,33770
39428,2019,29468
44892,2019,9530
45372,2019,59859
47645,2019,25236
59690,2019,24914
69641,2019,45804
73423,2019,54550
50901,2019,1169
65861,2019,28420
86832,2019,2963
55532,2019,16941
86031,2019,6926
60942,2019,61122
92329,2019,255206
61082,2019,14071
85211,2019,8621
88991,2019,17014
68371,2019,56986
75694,2019,12378
80991,2019,21177
81673,2019,20530
81080,2019,12650
84761,2019,29708
86930,2019,9108
85323,2019,29463
85861,2019,342806
93201,2019,17404
99411,2019,8688
101491,2019,5575
101692,2019,38440
102284,2019,72013
102531,2019,396093
102853,2019,17268
103922,2019,9755
104051,2019,8139
104091,2019,51332
104881,2019,2772
104994,2019,13382
105091,2019,69387
105652,2019,36170
105931,2019,6242
106072,2019,52738
107251,2019,47917
113523,2019,755213
113611,2019,730099
115891,2019,2896
117051,2019,80192
117341,2019,38974
117921,2019,9686
119305,2019,339013
119331,2019,5993
120181,2019,12051
121951,2019,9731
122291,2019,92168
122720,2019,34926
123373,2019,265965
125201,2019,161556
127232,2019,19716
127571,2019,29848
128114,2019,16209
128142,2019,98632
128535,2019,625517
136773,2019,17143
138172,2019,22018
138595,2019,24482
138715,2019,35858
140082,2019,33089
140521,2019,5679
142082,2019,13380
142371,2019,4541
142752,2019,22269
142995,2019,9018
144230,2019,7174
146576,2019,7551
148227,2019,778548
148321,2019,61577
150801,2019,502282
152882,2019,629483
154488,2019,255441
154813,2019,7406
154921,2019,16659
155711,2019,534529
157011,2019,30279
158801,2019,11303
159923,2019,148985
160410,2019,614679
162844,2019,23639
170435,2019,45108
172043,2019,27404
172104,2019,12654
172662,2019,14769
172741,2019,75681
172860,2019,1074288
172914,2019,10395
172961,2019,3049
175923,2019,348342
176722,2019,26617
176873,2019,22451
178423,2019,14180
179902,2019,32141
182282,2019,2910
182931,2019,33605
184053,2019,11708
184364,2019,564824
184581,2019,495495
185116,2019,15335
186232,2019,484744
187191,2019,31240
187441,2019,81568
188681,2019,6440
191372,2019,10
193373,2019,21346
197622,2019,25513
198721,2019,494739
201524,2019,20031
201632,2019,25404
201821,2019,41905
202085,2019,30890
202214,2019,1111
202562,2019,10433
205001,2019,22451
210701,2019,13088
213462,2019,73105
214541,2019,5173
217372,2019,300510
224532,2019,22765
227031,2019,4719
227982,2019,58188
229261,2019,913512
232586,2019,5857
232943,2019,552888
233722,2019,39328
233742,2019,36114
233941,2019,54771
235561,2019,18516
235831,2019,2227
236833,2019,1566
237945,2019,50429
238021,2019,38795
239121,2019,22931
242422,2019,19073
244496,2019,12020
244715,2019,13113
246432,2019,24592
249942,2019,20767
252134,2019,9870
252991,2019,27545
253313,2019,8867
253442,2019,61485
254781,2019,989339
255911,2019,11533
258652,2019,29682
258732,2019,150877
258952,2019,193058
261581,2019,188548
262622,2019,44554
263372,2019,36470
264151,2019,297740
267243,2019,29808
267433,2019,11075
267481,2019,72000
268122,2019,380504
268583,2019,13952
269255,2019,34346
270673,2019,12893
271071,2019,95908
271162,2019,38330
272101,2019,22346
274272,2019,10854
274732,2019,9270
275205,2019,4020
275273,2019,1118843
275751,2019,8938
276221,2019,137
276351,2019,35009
276712,2019,12268
279662,2019,135851
282092,2019,18859
282411,2019,10942
282651,2019,21412
282999,2019,116015
284694,2019,2493
285966,2019,31122
285975,2019,25645
286912,2019,746279
290093,2019,870703
290975,2019,21390
291822,2019,11031
291891,2019,15161
291964,2019,17359
292231,2019,4128
292374,2019,10101
294314,2019,55119
294861,2019,44760
295254,2019,16013
295493,2019,217845
297122,2019,3512
297601,2019,190426
297962,2019,2178
299122,2019,78453
300171,2019,4009
301624,2019,23493
301781,2019,18900
302453,2019,17723
304442,2019,55598
305031,2019,11499
307692,2019,2837
308231,2019,91446
308361,2019,41040
309443,2019,45239
313704,2019,1170575
314413,2019,41793
314823,2019,87985
315332,2019,60640
317384,2019,48424
318661,2019,627821
318711,2019,212663
318981,2019,250466
320532,2019,9402
320561,2019,44687
321135,2019,33014
321912,2019,6220
322592,2019,20
323812,2019,10011
323840,2019,70790
324302,2019,15100
329162,2019,10530
329501,2019,6968
333600,2019,10087
334921,2019,35772
335711,2019,44869
338172,2019,54422
338590,2019,117183
338953,2019,13936
339311,2019,26600
339491,2019,22636
339851,2019,22833
342332,2019,11006
344002,2019,2732
347162,2019,124790
348315,2019,35007
348442,2019,42216
350023,2019,678476
350390,2019,12551
352223,2019,613624
353161,2019,1742
355993,2019,33778
356871,2019,97189
362034,2019,25254
362651,2019,149148
363131,2019,7858
364945,2019,23011
365434,2019,9612
365721,2019,7408
367911,2019,20999
371581,2019,5122
372146,2019,121010
372181,2019,8516
372341,2019,156023
373722,2019,5370
376531,2019,12215
377271,2019,26445
379013,2019,255222
379403,2019,158579
381941,2019,141380
383245,2019,21594
383585,2019,52708
383961,2019,11104
385401,2019,2956
385793,2019,6881
386782,2019,31360
387041,2019,97531
388371,2019,10265
390791,2019,9243
391331,2019,20040
398251,2019,6017
399432,2019,29880
402249,2019,294
404692,2019,73682
405441,2019,856488
407211,2019,16690
407220,2019,11343
409463,2019,82639
411540,2019,22179
412322,2019,52566
412415,2019,16736
412623,2019,21429
416701,2019,14298
421997,2019,45532
422160,2019,17736
426120,2019,19491
426273,2019,178263
426924,2019,371477
429132,2019,93285
430102,2019,7281
430455,2019,49414
431732,2019,55151
431801,2019,13261
434682,2019,4162
437682,2019,24116
438461,2019,7939
439502,2019,365860
439990,2019,6048
440961,2019,221723
441953,2019,108347
444791,2019,234737
447605,2019,110992
448762,2019,40901
448981,2019,2543
449661,2019,23954
450503,2019,322798
452961,2019,7980
454531,2019,2908
463842,2019,6377
464453,2019,10650
465193,2019,50733
466201,2019,38780
468243,2019,373049
468473,2019,775391
468533,2019,280128
469245,2019,18232
470161,2019,9564
575001,2019,7065
700250,2019,18090
703300,2019,70784
706850,2019,8135
709650,2019,292390
719456,2019,19070
720700,2019,28709
720950,2019,22228
721200,2019,2433
721250,2019,87679
722760,2019,67221
723480,2019,362866
723600,2019,2493
724048,2019,190614
724120,2019,76386
724520,2019,104716
31,2019,202673
321,2019,736722
733,2019,272449
802,2019,68457
821,2019,45652
1791,2019,73963
3741,2019,178817
8291,2019,151155
8341,2019,36427
8374,2019,31750
8451,2019,23061
8632,2019,100495
9900,2019,149092
10992,2019,547650
