numCommune;annee;nbEtablissements;nbEcrans;nbFauteuils;nbMultiplexes;nbCinemasArtEssai;nbSeances;nbEntrees;recettes;population
13001;1960;;9;5336;;;;796576;247477.1974;67943
13001;1961;;8;5216;;;;766178;244009.2872;67943
13001;1962;;8;5495;;;;742410;293583.2684;67943
13001;1963;;7;4765;;;;732393;324751.9273;67943
13001;1964;;7;4765;;;;659742;336139.7165;67943
13001;1965;;8;4943;;;;633676;355355.6102;67943
13001;1966;;8;4943;;;;650039;374607.4819;89566
13001;1967;;9;5140;;;;692927;444396.8126;89566
13001;1968;;9;5131;;;;722670;461149.2827;89566
13001;1969;;9;5131;;;;748153;507190.2579;89566
13001;1970;;12;5625;;;;786242;624361353;89566
13001;1971;;15;5985;;;;867653;725913.5888;110659
13001;1972;;15;5985;;;;877630;780358.0113;110659
13001;1973;;16;6045;;;;845986;831472.0325;110659
13001;1974;;20;5978;;;;808771;871367.0256;110659
13001;1975;;20;5828;;;;840642;1104909316;110659
13001;1976;;17;5476;;;;945224;1483762655;110659
13001;1977;;17;5476;;;;903821;1533303.25;110659
13001;1978;;16;5226;;;;947915;1788968332;121327
13001;1979;;14;4130;;;;919653;1876332443;121327
13001;1980;;19;4904;;;;1056248;2314849297;121327
13001;1981;;18;3771;;;;1244860;3218492676;121327
13001;1982;;18;3752;;;;1367008;3974532629;121327
13001;1983;;18;3753;;;;1385237;4386974299;121327
13001;1984;;18;3752;;;;1324295;4443382569;121327
13001;1985;;18;3752;;;;1171701;4192114117;121327
13001;1986;;18;3752;;;;1182247;5030286096;123842
13001;1987;;18;3631;;;;1008872;4527917482;123842
13001;1988;;18;3631;;;;959438;4513749633;123842
13001;1989;;18;3631;;;;1034945;5179797.51;123842
13001;1990;;17;3453;;;;1096056;5602616891;123842
13001;1991;;16;2972;;;;1020279;5534132088;123842
13001;1992;5;17;3079;;;22674;1110762;6234524367;123842
13001;1993;5;17;3079;;;22565;1202775;6799691901;123842
13001;1994;5;17;3079;;;24984;1113773;6578927277;123842
13001;1995;5;17;2968;;;24544;1154030;6839195557;134222
13001;1996;5;17;2968;1;;23164;1083075;6443664752;134222
13001;1997;4;16;2874;1;;23480;1093514;6382486962;134222
13001;1998;4;16;2859;1;;22684;981912;5698058409;134222
13001;1999;4;16;2859;1;;24512;886099;5036378604;134222
13001;2000;4;16;2752;1;;25951;900642;5209344972;134222
13001;2001;4;16;2741;1;;26875;996079;6059808189;134222
13001;2002;4;16;2741;1;3;26301;996544;6143777.62;134222
13001;2003;4;16;2741;1;3;27033;961236;6053149.1;141895
13001;2004;4;16;2741;1;2;26842;1021393;6476353.66;141895
13001;2005;4;16;2676;1;3;26949;944198;5983515.17;141895
13001;2006;4;16;2676;1;3;26720;991237;6431572.78;141148
13001;2007;4;16;2676;1;3;26657;886467;5867579.4;141545
13001;2008;4;16;2676;1;3;28129;941689;6277997.9;142668
