nomTypeFilm,numCinema,nombre
Programmes,55,75
Programmes,204,64
Programmes,301,80
Programmes,451,101
Programmes,731,67
Programmes,891,31
Programmes,1393,234
Programmes,1681,372
Programmes,7231,208
Programmes,8331,61
Programmes,8353,110
Programmes,8422,99
Programmes,8514,99
Programmes,9351,10
Programmes,9600,274
Programmes,9616,66
Programmes,9906,257
Programmes,75492,105
Programmes,67333,65
Programmes,12401,95
Programmes,14071,27
Programmes,14073,147
Programmes,74553,154
Programmes,48422,203
Programmes,76073,130
Programmes,45266,129
Programmes,11101,131
Programmes,77732,14
Programmes,84292,94
Programmes,11527,159
Programmes,13405,79
Programmes,27833,98
Programmes,86693,72
Programmes,86952,119
Programmes,49632,117
Programmes,73021,117
Programmes,82762,112
Programmes,85902,109
Programmes,14102,117
Programmes,86544,157
Programmes,30891,201
Programmes,17325,91
Programmes,19325,118
Programmes,57473,91
Programmes,80572,73
Programmes,19464,142
Programmes,19491,177
Programmes,19507,14
Programmes,38772,149
Programmes,25722,51
Programmes,23102,116
Programmes,84556,156
Programmes,68046,165
Programmes,25038,1
Programmes,29144,51
Programmes,25571,42
Programmes,92542,105
Programmes,30164,133
Programmes,30184,228
Programmes,57582,139
Programmes,61504,132
Programmes,67324,50
Programmes,31544,189
Programmes,57172,154
Programmes,36672,1
Programmes,72881,82
Programmes,33801,217
Programmes,58272,43
Programmes,34182,96
Programmes,37881,46
Programmes,89152,49
Programmes,39428,145
Programmes,44892,112
Programmes,45372,98
Programmes,47645,124
Programmes,59690,75
Programmes,69641,121
Programmes,73423,179
Programmes,50901,70
Programmes,65861,101
Programmes,86832,39
Programmes,55532,93
Programmes,86031,71
Programmes,60942,26
Programmes,92329,233
Programmes,61082,53
Programmes,85211,133
Programmes,88991,145
Programmes,68371,90
Programmes,75694,125
Programmes,80991,64
Programmes,81673,19
Programmes,81080,52
Programmes,84761,135
Programmes,86930,43
Programmes,85323,105
Programmes,85861,81
Programmes,93201,101
Programmes,99411,30
Programmes,101491,59
Programmes,101692,91
Programmes,102284,134
Programmes,102531,70
Programmes,102853,78
Programmes,103922,24
Programmes,104051,134
Programmes,104091,96
Programmes,104881,153
Programmes,104994,103
Programmes,105091,43
Programmes,105652,113
Programmes,105931,69
Programmes,106072,117
Programmes,107251,141
Programmes,113523,22
Programmes,113611,119
Programmes,115891,43
Programmes,117051,138
Programmes,117341,133
Programmes,117921,82
Programmes,119305,223
Programmes,119331,143
Programmes,120181,177
Programmes,121951,117
Programmes,122291,115
Programmes,122720,64
Programmes,123373,43
Programmes,125201,119
Programmes,127232,70
Programmes,127571,84
Programmes,128114,133
Programmes,128142,6
Programmes,128535,121
Programmes,136773,68
Programmes,138172,121
Programmes,138595,183
Programmes,138715,42
Programmes,140082,14
Programmes,140521,98
Programmes,142082,75
Programmes,142371,117
Programmes,142752,42
Programmes,142995,223
Programmes,144230,11
Programmes,146576,93
Programmes,148227,229
Programmes,148321,6
Programmes,150801,147
Programmes,152882,137
Programmes,154488,133
Programmes,154813,145
Programmes,154921,112
Programmes,155711,122
Programmes,157011,79
Programmes,158801,80
Programmes,159923,92
Programmes,160410,62
Programmes,162844,161
Programmes,170435,161
Programmes,172043,72
Programmes,172104,198
Programmes,172662,108
Programmes,172741,99
Programmes,172860,198
Programmes,172914,106
Programmes,172961,149
Programmes,175923,40
Programmes,176722,58
Programmes,176873,162
Programmes,178423,104
Programmes,179902,34
Programmes,182282,147
Programmes,182931,59
Programmes,184053,175
Programmes,184364,122
Programmes,184581,108
Programmes,185116,156
Programmes,186232,113
Programmes,187191,86
Programmes,187441,93
Programmes,188681,137
Programmes,191372,67
Programmes,193373,205
Programmes,197622,109
Programmes,198721,126
Programmes,201524,162
Programmes,201632,67
Programmes,201821,43
Programmes,202085,73
Programmes,202214,50
Programmes,202562,204
Programmes,205001,120
Programmes,210701,97
Programmes,213462,68
Programmes,214541,79
Programmes,217372,150
Programmes,224532,54
Programmes,227031,88
Programmes,227982,36
Programmes,229261,67
Programmes,232586,131
Programmes,232943,121
Programmes,233722,185
Programmes,233742,104
Programmes,233941,105
Programmes,235561,93
Programmes,235831,12
Programmes,236833,126
Programmes,237945,69
Programmes,238021,128
Programmes,239121,126
Programmes,242422,85
Programmes,244496,203
Programmes,244715,9
Programmes,246432,115
Programmes,249942,135
Programmes,252134,190
Programmes,252991,83
Programmes,253313,55
Programmes,253442,66
Programmes,254781,108
Programmes,255911,122
Programmes,258652,96
Programmes,258732,141
Programmes,258952,69
Programmes,261581,93
Programmes,262622,173
Programmes,263372,108
Programmes,264151,167
Programmes,267243,120
Programmes,267433,183
Programmes,267481,119
Programmes,268122,142
Programmes,268583,194
Programmes,269255,168
Programmes,270673,58
Programmes,271071,94
Programmes,271162,112
Programmes,272101,120
Programmes,274272,53
Programmes,274732,171
Programmes,275205,157
Programmes,275273,181
Programmes,275751,26
Programmes,276221,57
Programmes,276351,165
Programmes,276712,95
Programmes,279662,8
Programmes,282092,41
Programmes,282411,126
Programmes,282651,117
Programmes,282999,82
Programmes,284694,159
Programmes,285966,132
Programmes,285975,98
Programmes,286912,89
Programmes,290093,217
Programmes,290975,250
Programmes,291822,129
Programmes,291891,203
Programmes,291964,131
Programmes,292231,116
Programmes,292374,194
Programmes,294314,83
Programmes,294861,163
Programmes,295254,238
Programmes,295493,126
Programmes,297122,131
Programmes,297601,153
Programmes,297962,62
Programmes,299122,12
Programmes,300171,87
Programmes,301624,124
Programmes,301781,68
Programmes,302453,148
Programmes,304442,145
Programmes,305031,114
Programmes,307692,115
Programmes,308231,159
Programmes,308361,218
Programmes,309443,163
Programmes,313704,1
Programmes,314413,114
Programmes,314823,192
Programmes,315332,116
Programmes,317384,79
Programmes,318661,194
Programmes,318711,150
Programmes,318981,119
Programmes,320532,56
Programmes,320561,112
Programmes,321135,171
Programmes,321912,88
Programmes,322592,66
Programmes,323812,141
Programmes,323840,5
Programmes,324302,129
Programmes,329162,114
Programmes,329501,171
Programmes,333600,9
Programmes,334921,47
Programmes,335711,127
Programmes,338172,103
Programmes,338590,149
Programmes,338953,137
Programmes,339311,159
Programmes,339491,140
