numCinema,nationalite,PdM
55,FR,48.82847702
204,FR,47.16468714
301,FR,6.97058738
451,FR,43.58109209
731,FR,55.90664627
891,FR,58.82001196
1393,FR,46.50728427
1681,FR,38.95595129
7231,FR,57.83341669
8331,FR,49.71601122
8353,FR,53.81579256
8422,FR,29.58261251
8514,FR,66.77238609
9351,FR,79.43643794
9600,FR,32.2816646
9616,FR,44.15871596
9906,FR,38.47332804
75492,FR,43.93836515
67333,FR,70.81158045
12401,FR,49.57004207
14071,FR,54.54289733
14073,FR,54.90848586
74553,FR,60.28257457
48422,FR,41.95985903
76073,FR,46.68528412
45266,FR,73.0628655
11101,FR,60.90398601
77732,FR,42.83674263
84292,FR,46.42857143
11527,FR,34.18069996
13405,FR,62.57048872
27833,FR,60.21485994
86693,FR,57.97613787
86952,FR,65.32066508
49632,FR,57.18111684
73021,FR,49.39247175
82762,FR,63.12910284
85902,FR,61.28049824
14102,FR,48.19661074
86544,FR,54.04241804
30891,FR,54.73899344
17325,FR,52.85165485
19325,FR,60.89517079
57473,FR,53.82933964
80572,FR,35.62384994
19464,FR,54.89124518
19491,FR,61.7732944
19507,FR,30.21281537
38772,FR,41.96510906
25722,FR,64.4610903
23102,FR,21.79397337
84556,FR,62.37824675
68046,FR,81.23158515
25038,FR,70.83737472
29144,FR,62.97289462
25571,FR,59.60064183
92542,FR,100
30164,FR,67.49814952
30184,FR,35.95885563
57582,FR,53.46174078
61504,FR,61.74165457
67324,FR,60.57290175
31544,FR,39.46842212
57172,FR,75.1577549
36672,FR,51.14289928
72881,FR,66.34822804
33801,FR,61.27412107
58272,FR,38.65467077
34182,FR,54.09551015
37881,FR,58.10185185
89152,FR,64.94205298
39428,FR,63.58936484
44892,FR,62.70923401
45372,FR,56.94802883
47645,FR,43.94072219
59690,FR,34.81672617
69641,FR,74.28779246
73423,FR,41.09741634
50901,FR,52.31143552
65861,FR,42.05273759
86832,FR,65.21058127
55532,FR,46.05840698
86031,FR,62.72727273
60942,FR,57.10924066
92329,FR,61.45900581
61082,FR,51.43303137
85211,FR,60.74510504
88991,FR,42.59407526
68371,FR,48.6008067
75694,FR,55.19421861
80991,FR,54.30697919
81673,FR,34.93619067
81080,FR,61.99543031
84761,FR,100
86930,FR,45.79508807
85323,FR,76.03045853
85861,FR,68.0358158
93201,FR,50.78844972
99411,FR,57.21137942
101491,FR,39.38249966
101692,FR,55.70657233
102284,FR,40.86603518
102531,FR,62.86764706
102853,FR,60.75520413
103922,FR,64.37487211
104051,FR,57.14285714
104091,FR,65.34569983
104881,FR,46.60409395
104994,FR,65.41719856
105091,FR,54.27023582
105652,FR,69.41117764
105931,FR,59.60615184
106072,FR,40.40511727
107251,FR,53.02706857
113523,FR,67.33466934
113611,FR,64.10517255
